,Country,hdi_2009,hdi_2019,hdi_var,edu_2009,edu_2019,edu_var,pov_index
31, Canada,0.8980000019073486,0.9290000200271606,0.03100001811981201,15.199999809265137,16.200000762939453,1.0000009536743164,0.14128972589969635
32, Central African Republic,0.35600000619888306,0.3970000147819519,0.04100000858306885,6.5,7.599999904632568,1.0999999046325684,0.4650000035762787
33, Chad,0.3610000014305115,0.39800000190734863,0.03700000047683716,6.699999809265137,7.300000190734863,0.6000003814697266,0.5329999923706055
34, Chile,0.8220000267028809,0.8510000109672546,0.02899998426437378,15.0,16.399999618530273,1.3999996185302734,0.14128972589969635
35, China,0.6869999766349792,0.7609999775886536,0.07400000095367432,12.600000381469727,14.0,1.3999996185302734,0.01600000075995922
36, Colombia,0.7200000286102295,0.7670000195503235,0.046999990940093994,13.5,14.399999618530273,0.8999996185302734,0.019999999552965164
37, Comoros,0.5139999985694885,0.5540000200271606,0.04000002145767212,10.5,11.199999809265137,0.6999998092651367,0.1809999942779541
38, Congo,0.5139999985694885,0.5740000009536743,0.06000000238418579,10.5,11.699999809265137,1.1999998092651367,0.1120000034570694
39, Congo (Democratic Republic of the),0.4189999997615814,0.47999998927116394,0.06099998950958252,8.899999618530273,9.699999809265137,0.8000001907348633,0.3310000002384186
40, Costa Rica,0.7620000243186951,0.8100000023841858,0.04799997806549072,13.300000190734863,15.699999809265137,2.3999996185302734,0.14128972589969635
41, Croatia,0.8119999766349792,0.8510000109672546,0.03900003433227539,14.199999809265137,15.199999809265137,1.0,0.14128972589969635
42, Cuba,0.7850000262260437,0.7829999923706055,-0.0020000338554382324,17.299999237060547,14.300000190734863,-2.9999990463256836,0.0020000000949949026
43, Cyprus,0.8619999885559082,0.8870000243186951,0.025000035762786865,14.600000381469727,15.199999809265137,0.5999994277954102,0.14128972589969635
44, Czechia,0.8659999966621399,0.8999999761581421,0.0339999794960022,15.800000190734863,16.799999237060547,0.9999990463256836,0.14128972589969635
45, C�te d'Ivoire,0.4620000123977661,0.5379999876022339,0.07599997520446777,8.300000190734863,10.0,1.6999998092651367,0.23600000143051147
46, Denmark,0.9139999747276306,0.9399999976158142,0.026000022888183594,16.799999237060547,18.899999618530273,2.1000003814697266,0.14128972589969635
47, Djibouti,0.44200000166893005,0.5239999890327454,0.08199998736381531,5.5,6.800000190734863,1.3000001907348633,0.14128972589969635
48, Dominica,0.7310000061988831,0.7419999837875366,0.010999977588653564,12.699999809265137,13.0,0.3000001907348633,0.14128972589969635
49, Dominican Republic,0.699999988079071,0.7559999823570251,0.0559999942779541,12.899999618530273,14.199999809265137,1.3000001907348633,0.014999999664723873
50, Ecuador,0.718999981880188,0.7590000033378601,0.04000002145767212,13.5,14.600000381469727,1.1000003814697266,0.017999999225139618
